test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,training_seed,saved_episode
950029,-266.1460220874817,0.44,1704.6107842582662,41207.87359126374,42,30
950030,-216.6751538072268,0.48,1517.432304784301,38057.0273538646,42,30
950031,-249.2063737248076,0.47,1724.8613829300698,41505.2117417098,42,30
950032,-245.0545817719635,0.44,1581.4161891280105,32331.150575879918,42,30
950033,-208.8741199104124,0.51,1757.6146838116538,41151.79846329088,42,30
950034,-227.99095293783301,0.49,1746.4334875708248,45652.002350511495,42,30
950035,-223.20201388935774,0.49,1713.2146562863254,41908.01558680965,42,30
950036,-226.18428963473136,0.49,1685.2517092685562,39533.5302072529,42,30
950037,-225.07573431480432,0.48,1755.4381596852056,43183.32868557427,42,30
950038,-157.37506763423272,0.58,1343.6604492208003,32302.53402695999,42,30
950039,-186.92045073206657,0.51,1479.4206634163597,32778.30862584696,42,30
950040,-155.8214578201003,0.57,1495.740450689829,32456.42635573413,42,30
950041,-254.3467372404149,0.43,1864.7712201212419,44269.85503439283,42,30
950042,-212.83563801213685,0.5,1671.4419541765733,39534.07988537023,42,30
950043,-163.6206065134602,0.56,1610.3550616224518,36801.78210034907,42,30
950044,-173.99867568093347,0.55,1424.1258785056302,33416.11624274201,42,30
950045,-214.35799344255932,0.49,1600.9346222349116,42175.09315069834,42,30
950046,-218.34550417430233,0.49,1636.1307338440959,39409.13475264351,42,30
950047,-237.74913187136355,0.46,1522.8519506399305,29274.514562354376,42,30
950048,-258.2081985194422,0.45,2015.2207041388565,50526.95586105585,42,30
950049,-236.8342904662534,0.44,1859.3348298585865,41626.55640182279,42,30
950050,-256.9128548461032,0.45,2108.1686686184958,51822.566586416426,42,30
950051,-259.4504632797904,0.45,2006.4045612770385,45429.215826188214,42,30
950052,-196.1208658393799,0.56,1526.0068869709328,34253.48817160845,42,30
950053,-264.9627859568101,0.45,1928.245971125218,53536.50403220712,42,30
950054,-221.95158308918442,0.5,1784.417880303273,37906.83836314781,42,30
950055,-240.07521786922783,0.46,1718.0443639865875,44843.72383354309,42,30
950056,-221.43069196108888,0.49,1695.6141112042612,40225.714215110085,42,30
950057,-173.6189743780875,0.59,1574.0973808364681,37387.37400514152,42,30
950058,-274.7041423931266,0.44,2026.9466744360734,55346.218881101115,42,30
950059,-196.65700415034647,0.52,1790.8089382246676,39647.62964478388,42,30
